Product Name,Main Specs,Additional Specs,Derived Models
Intel HD Graphics 505 Mobile,"Graphics Processor: Apollo Lake GT1.5
Cores: 144
TMUs: 18
ROPs: 3
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Apollo Lake GT1.5
Architecture: Generation 9.0
Foundry: Intel
Process Size: 14 nm
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Sep 1st, 2016
Generation: HD Graphics-T (Goldmont)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 200 MHz
Boost Clock: 650 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 144
TMUs: 18
ROPs: 3
Execution Units: 18

Theoretical Performance:
Pixel Rate: 1.950 GPixel/s
Texture Rate: 11.70 GTexel/s
FP32 (float): 187.2 GFLOPS
FP64 (double): 23.40 GFLOPS (1:8)

Board Design:
Slot Width: IGP
TDP: 6 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.4

",없음
Intel HD Graphics 610,"Graphics Processor: Kaby Lake GT1
Cores: 96
TMUs: 12
ROPs: 2
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Kaby Lake GT1
Architecture: Generation 9.5
Foundry: Intel
Process Size: 14 nm++
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Aug 30th, 2016
Generation: HD Graphics (Kaby Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 350 MHz
Boost Clock: 1050 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 96
TMUs: 12
ROPs: 2
Execution Units: 12

Theoretical Performance:
Pixel Rate: 2.100 GPixel/s
Texture Rate: 12.60 GTexel/s
FP16 (half): 403.2 GFLOPS (2:1)
FP32 (float): 201.6 GFLOPS
FP64 (double): 50.40 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 5 W
Outputs: Motherboard Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.4

",없음
Intel HD Graphics 610 Mobile,"Graphics Processor: Kaby Lake GT1
Cores: 96
TMUs: 12
ROPs: 2
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Kaby Lake GT1
Architecture: Generation 9.5
Foundry: Intel
Process Size: 14 nm++
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Aug 30th, 2016
Generation: HD Graphics-M (Kaby Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 300 MHz
Boost Clock: 900 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 96
TMUs: 12
ROPs: 2
Execution Units: 12

Theoretical Performance:
Pixel Rate: 1.800 GPixel/s
Texture Rate: 10.80 GTexel/s
FP16 (half): 345.6 GFLOPS (2:1)
FP32 (float): 172.8 GFLOPS
FP64 (double): 43.20 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 5 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.4

",없음
Intel HD Graphics 615 Mobile,"Graphics Processor: Kaby Lake GT2
Cores: 192
TMUs: 24
ROPs: 3
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Kaby Lake GT2
Architecture: Generation 9.5
Foundry: Intel
Process Size: 14 nm++
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Aug 30th, 2016
Generation: HD Graphics-M (Kaby Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 300 MHz
Boost Clock: 850 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 192
TMUs: 24
ROPs: 3
Execution Units: 24

Theoretical Performance:
Pixel Rate: 2.550 GPixel/s
Texture Rate: 20.40 GTexel/s
FP16 (half): 652.8 GFLOPS (2:1)
FP32 (float): 326.4 GFLOPS
FP64 (double): 81.60 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 5 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.4

",없음
Intel HD Graphics 620 Mobile,"Graphics Processor: Kaby Lake GT2
Cores: 192
TMUs: 24
ROPs: 3
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Kaby Lake GT2
Architecture: Generation 9.5
Foundry: Intel
Process Size: 14 nm++
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Aug 30th, 2016
Generation: HD Graphics-M (Kaby Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 300 MHz
Boost Clock: 1000 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 192
TMUs: 24
ROPs: 3
Execution Units: 24

Theoretical Performance:
Pixel Rate: 3.000 GPixel/s
Texture Rate: 24.00 GTexel/s
FP16 (half): 768.0 GFLOPS (2:1)
FP32 (float): 384.0 GFLOPS
FP64 (double): 96.00 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.4

",없음
Intel HD Graphics 630,"Graphics Processor: Kaby Lake GT2
Cores: 192
TMUs: 24
ROPs: 3
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Kaby Lake GT2
Architecture: Generation 9.5
Foundry: Intel
Process Size: 14 nm++
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Aug 30th, 2016
Generation: HD Graphics (Kaby Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 350 MHz
Boost Clock: 1000 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 192
TMUs: 24
ROPs: 3
Execution Units: 24

Theoretical Performance:
Pixel Rate: 3.000 GPixel/s
Texture Rate: 24.00 GTexel/s
FP16 (half): 768.0 GFLOPS (2:1)
FP32 (float): 384.0 GFLOPS
FP64 (double): 96.00 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Motherboard Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.4

",없음
Intel HD Graphics 630 Mobile,"Graphics Processor: Kaby Lake GT2
Cores: 192
TMUs: 24
ROPs: 3
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Kaby Lake GT2
Architecture: Generation 9.5
Foundry: Intel
Process Size: 14 nm++
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Aug 30th, 2016
Generation: HD Graphics-M (Kaby Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 350 MHz
Boost Clock: 1000 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 192
TMUs: 24
ROPs: 3
Execution Units: 24

Theoretical Performance:
Pixel Rate: 3.000 GPixel/s
Texture Rate: 24.00 GTexel/s
FP16 (half): 768.0 GFLOPS (2:1)
FP32 (float): 384.0 GFLOPS
FP64 (double): 96.00 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.4

",없음
Intel HD Graphics P630 Mobile,"Graphics Processor: Kaby Lake GT2
Cores: 192
TMUs: 24
ROPs: 3
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Kaby Lake GT2
Architecture: Generation 9.5
Foundry: Intel
Process Size: 14 nm++
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Aug 5th, 2016
Generation: HD Graphics-WM (Kaby Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 350 MHz
Boost Clock: 1100 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 192
TMUs: 24
ROPs: 3
Execution Units: 24

Theoretical Performance:
Pixel Rate: 3.300 GPixel/s
Texture Rate: 26.40 GTexel/s
FP16 (half): 844.8 GFLOPS (2:1)
FP32 (float): 422.4 GFLOPS
FP64 (double): 105.6 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.4

",없음
