Product Name,Main Specs,Additional Specs,Derived Models
NVIDIA GeForce GT 610 OEM,"Graphics Processor: GF108
Cores: 48
TMUs: 8
ROPs: 2
Memory Size: 2 GB
Memory Type: DDR3
Bus Width: 64 bit","Graphics Processor:
GPU Name: GF108
Architecture: Fermi
Foundry: TSMC
Process Size: 40 nm
Transistors: 585 million
Density: 5.0M / mm²
Die Size: 116 mm²
Chip Package: BGA-973

Graphics Card:
Release Date: Apr 2nd, 2016
Generation: GeForce 600
Predecessor: GeForce 500
Successor: GeForce 700
Production: Active
Bus Interface: PCIe 2.0 x16

Clock Speeds:
GPU Clock: 701 MHz
Shader Clock: 1402 MHz
Memory Clock: 500 MHz 1000 Mbps effective

Memory:
Memory Size: 2 GB
Memory Type: DDR3
Memory Bus: 64 bit
Bandwidth: 8.000 GB/s

Render Config:
Shading Units: 48
TMUs: 8
ROPs: 2
SM Count: 1
L1 Cache: 64 KB (per SM)
L2 Cache: 128 KB

Theoretical Performance:
Pixel Rate: 1.402 GPixel/s
Texture Rate: 5.608 GTexel/s
FP32 (float): 134.6 GFLOPS
FP64 (double): 11.22 GFLOPS (1:12)

Board Design:
Slot Width: Single-slot
Length: 145 mm 5.7 inches
TDP: 29 W
Suggested PSU: 200 W
Outputs: 1x DVI 1x HDMI 1.3a 1x VGA
Power Connectors: None

Graphics Features:
DirectX: 12 (11_0)
OpenGL: 4.6
OpenCL: 1.1
Vulkan: N/A
CUDA: 2.1
Shader Model: 5.1

",없음
NVIDIA Jetson TX2,"Graphics Processor: GP10B
Cores: 256
TMUs: 16
ROPs: 16
Memory Size: 8 GB
Memory Type: LPDDR4
Bus Width: 128 bit","Graphics Processor:
GPU Name: GP10B
GPU Variant: Tegra X2
Architecture: Pascal
Foundry: TSMC
Process Size: 16 nm
Transistors: unknown
Die Size: unknown

Mobile Graphics:
Release Date: 2016
Generation: Tegra (Pascal)
Production: Active
Launch Price: 249 USD
Bus Interface: PCIe 2.0 x4

Clock Speeds:
GPU Clock: 1300 MHz
Memory Clock: 1866 MHz 3.7 Gbps effective

Memory:
Memory Size: 8 GB
Memory Type: LPDDR4
Memory Bus: 128 bit
Bandwidth: 59.71 GB/s

Render Config:
Shading Units: 256
TMUs: 16
ROPs: 16
SM Count: 2
L1 Cache: 48 KB (per SM)
L2 Cache: 512 KB

Theoretical Performance:
Pixel Rate: 20.80 GPixel/s
Texture Rate: 20.80 GTexel/s
FP16 (half): 1,331 GFLOPS (2:1)
FP32 (float): 665.6 GFLOPS
FP64 (double): 20.80 GFLOPS (1:32)

Board Design:
Slot Width: IGP
Length: 87 mm 3.4 inches
Width: 50 mm 2 inches
TDP: 15 W
Outputs: Portable Device Dependent
Board Number: P3310 SKU 1000

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 1.2
Vulkan: 1.2
CUDA: 6.2
Shader Model: 6.0

",없음
