Product Name,Main Specs,Additional Specs,Derived Models
AMD P30PH,"Graphics Processor: Polaris 20
Cores: 2048
TMUs: 128
ROPs: 32
Memory Size: 4 GB
Memory Type: GDDR5
Bus Width: 256 bit","Graphics Processor:
GPU Name: Polaris 20
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 5,700 million
Density: 24.6M / mm²
Die Size: 232 mm²
Chip Package: BGA-1401

Graphics Card:
Release Date: Unknown
Generation: Mining GPUs
Production: Active
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 1120 MHz
Boost Clock: 1206 MHz
Memory Clock: 2100 MHz 8.4 Gbps effective

Memory:
Memory Size: 4 GB
Memory Type: GDDR5
Memory Bus: 256 bit
Bandwidth: 268.8 GB/s

Render Config:
Shading Units: 2048
TMUs: 128
ROPs: 32
Compute Units: 32
L1 Cache: 16 KB (per CU)
L2 Cache: 2 MB

Theoretical Performance:
Pixel Rate: 38.59 GPixel/s
Texture Rate: 154.4 GTexel/s
FP16 (half): 4.940 TFLOPS (1:1)
FP32 (float): 4.940 TFLOPS
FP64 (double): 308.7 GFLOPS (1:16)

Board Design:
Slot Width: Dual-slot
Length: 241 mm 9.5 inches
TDP: 180 W
Suggested PSU: 450 W
Outputs: 1x HDMI 2.0b
Power Connectors: 2x 8-pin
Board Number: P010

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Instinct MI25,"Graphics Processor: Vega 10
Cores: 4096
TMUs: 256
ROPs: 64
Memory Size: 16 GB
Memory Type: HBM2
Bus Width: 2048 bit","Graphics Processor:
GPU Name: Vega 10
GPU Variant: Vega 10 XT GL (215-0894124)
Architecture: GCN 5.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 12,500 million
Density: 25.3M / mm²
Die Size: 495 mm²
Chip Package: BGA-2013

Graphics Card:
Release Date: Jun 27th, 2017
Generation: Radeon Instinct (MIx)
Predecessor: FirePro Data Center
Production: Active
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 1400 MHz
Boost Clock: 1500 MHz
Memory Clock: 852 MHz 1704 Mbps effective

Memory:
Memory Size: 16 GB
Memory Type: HBM2
Memory Bus: 2048 bit
Bandwidth: 436.2 GB/s

Render Config:
Shading Units: 4096
TMUs: 256
ROPs: 64
Compute Units: 64
L1 Cache: 16 KB (per CU)
L2 Cache: 4 MB

Theoretical Performance:
Pixel Rate: 96.00 GPixel/s
Texture Rate: 384.0 GTexel/s
FP16 (half): 24.58 TFLOPS (2:1)
FP32 (float): 12.29 TFLOPS
FP64 (double): 768.0 GFLOPS (1:16)

Board Design:
Slot Width: Dual-slot
Length: 267 mm 10.5 inches
Width: 111 mm 4.4 inches
TDP: 300 W
Suggested PSU: 700 W
Outputs: No outputs
Power Connectors: 2x 8-pin
Board Number: D051

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro 555,"Graphics Processor: Polaris 21
Cores: 768
TMUs: 48
ROPs: 16
Memory Size: 2 GB
Memory Type: GDDR5
Bus Width: 128 bit","Graphics Processor:
GPU Name: Polaris 21
GPU Variant: Polaris 21 PRO
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 3,000 million
Density: 24.4M / mm²
Die Size: 123 mm²
Chip Package: BGA-769

Mobile Graphics:
Release Date: Jun 5th, 2017
Generation: Radeon Pro Mac (500 Series)
Production: Active
Bus Interface: PCIe 3.0 x8

Clock Speeds:
GPU Clock: 850 MHz
Memory Clock: 1275 MHz 5.1 Gbps effective

Memory:
Memory Size: 2 GB
Memory Type: GDDR5
Memory Bus: 128 bit
Bandwidth: 81.60 GB/s

Render Config:
Shading Units: 768
TMUs: 48
ROPs: 16
Compute Units: 12
L1 Cache: 16 KB (per CU)
L2 Cache: 1024 KB

Theoretical Performance:
Pixel Rate: 13.60 GPixel/s
Texture Rate: 40.80 GTexel/s
FP16 (half): 1,306 GFLOPS (1:1)
FP32 (float): 1,306 GFLOPS
FP64 (double): 81.60 GFLOPS (1:16)

Board Design:
Slot Width: IGP
TDP: 75 W
Outputs: Portable Device Dependent
Power Connectors: None

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro 560,"Graphics Processor: Polaris 21
Cores: 1024
TMUs: 64
ROPs: 16
Memory Size: 4 GB
Memory Type: GDDR5
Bus Width: 128 bit","Graphics Processor:
GPU Name: Polaris 21
GPU Variant: Polaris 21 XT (215-0908004)
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 3,000 million
Density: 24.4M / mm²
Die Size: 123 mm²
Chip Package: BGA-769

Mobile Graphics:
Release Date: Apr 18th, 2017
Generation: Radeon Pro Mac (500 Series)
Production: Active
Bus Interface: PCIe 3.0 x8

Clock Speeds:
GPU Clock: 907 MHz
Memory Clock: 1270 MHz 5.1 Gbps effective

Memory:
Memory Size: 4 GB
Memory Type: GDDR5
Memory Bus: 128 bit
Bandwidth: 81.28 GB/s

Render Config:
Shading Units: 1024
TMUs: 64
ROPs: 16
Compute Units: 16
L1 Cache: 16 KB (per CU)
L2 Cache: 1024 KB

Theoretical Performance:
Pixel Rate: 14.51 GPixel/s
Texture Rate: 58.05 GTexel/s
FP16 (half): 1.858 TFLOPS (1:1)
FP32 (float): 1.858 TFLOPS
FP64 (double): 116.1 GFLOPS (1:16)

Board Design:
Slot Width: IGP
TDP: 75 W
Outputs: Portable Device Dependent
Power Connectors: None

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro 570,"Graphics Processor: Ellesmere
Cores: 1792
TMUs: 112
ROPs: 32
Memory Size: 4 GB
Memory Type: GDDR5
Bus Width: 256 bit","Graphics Processor:
GPU Name: Ellesmere
GPU Variant: Ellesmere PROA
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 5,700 million
Density: 24.6M / mm²
Die Size: 232 mm²
Chip Package: BGA-1401

Mobile Graphics:
Release Date: Jun 5th, 2017
Generation: Radeon Pro Mac (500 Series)
Production: Active
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 1000 MHz
Boost Clock: 1105 MHz
Memory Clock: 1695 MHz 6.8 Gbps effective

Memory:
Memory Size: 4 GB
Memory Type: GDDR5
Memory Bus: 256 bit
Bandwidth: 217.0 GB/s

Render Config:
Shading Units: 1792
TMUs: 112
ROPs: 32
Compute Units: 28
L1 Cache: 16 KB (per CU)
L2 Cache: 2 MB

Theoretical Performance:
Pixel Rate: 35.36 GPixel/s
Texture Rate: 123.8 GTexel/s
FP16 (half): 3.960 TFLOPS (1:1)
FP32 (float): 3.960 TFLOPS
FP64 (double): 247.5 GFLOPS (1:16)

Board Design:
Slot Width: IGP
TDP: 150 W
Outputs: Portable Device Dependent
Power Connectors: None

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro 575,"Graphics Processor: Ellesmere
Cores: 2048
TMUs: 128
ROPs: 32
Memory Size: 4 GB
Memory Type: GDDR5
Bus Width: 256 bit","Graphics Processor:
GPU Name: Ellesmere
GPU Variant: Ellesmere XLA
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 5,700 million
Density: 24.6M / mm²
Die Size: 232 mm²
Chip Package: BGA-1401

Mobile Graphics:
Release Date: Jun 5th, 2017
Generation: Radeon Pro Mac (500 Series)
Production: Active
Bus Interface: PCIe 3.0 x16

Clock Speeds:
GPU Clock: 1096 MHz
Memory Clock: 1695 MHz 6.8 Gbps effective

Memory:
Memory Size: 4 GB
Memory Type: GDDR5
Memory Bus: 256 bit
Bandwidth: 217.0 GB/s

Render Config:
Shading Units: 2048
TMUs: 128
ROPs: 32
Compute Units: 32
L1 Cache: 16 KB (per CU)
L2 Cache: 2 MB

Theoretical Performance:
Pixel Rate: 35.07 GPixel/s
Texture Rate: 140.3 GTexel/s
FP16 (half): 4.489 TFLOPS (1:1)
FP32 (float): 4.489 TFLOPS
FP64 (double): 280.6 GFLOPS (1:16)

Board Design:
Slot Width: MXM Module
TDP: 150 W
Outputs: Portable Device Dependent
Power Connectors: None
Board Number: 109-C29557-00

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro 580,"Graphics Processor: Ellesmere
Cores: 2304
TMUs: 144
ROPs: 32
Memory Size: 8 GB
Memory Type: GDDR5
Bus Width: 256 bit","Graphics Processor:
GPU Name: Ellesmere
GPU Variant: Ellesmere XTA (216-0876220)
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 5,700 million
Density: 24.6M / mm²
Die Size: 232 mm²
Chip Package: BGA-1401

Mobile Graphics:
Release Date: Jun 5th, 2017
Generation: Radeon Pro Mac (500 Series)
Production: Active
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 1100 MHz
Boost Clock: 1200 MHz
Memory Clock: 1695 MHz 6.8 Gbps effective

Memory:
Memory Size: 8 GB
Memory Type: GDDR5
Memory Bus: 256 bit
Bandwidth: 217.0 GB/s

Render Config:
Shading Units: 2304
TMUs: 144
ROPs: 32
Compute Units: 36
L1 Cache: 16 KB (per CU)
L2 Cache: 2 MB

Theoretical Performance:
Pixel Rate: 38.40 GPixel/s
Texture Rate: 172.8 GTexel/s
FP16 (half): 5.530 TFLOPS (1:1)
FP32 (float): 5.530 TFLOPS
FP64 (double): 345.6 GFLOPS (1:16)

Board Design:
Slot Width: IGP
TDP: 185 W
Outputs: Portable Device Dependent
Power Connectors: None

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro Duo Polaris,"Graphics Processor: Ellesmere x2
Cores: 2304 x2
TMUs: 144 x2
ROPs: 32 x2
Memory Size: 16 GB x2
Memory Type: GDDR5
Bus Width: 256 bit x2","Graphics Processor:
GPU Name: Ellesmere
GPU Variant: Ellesmere Gemini GL
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 5,700 million
Density: 24.6M / mm²
Die Size: 232 mm²
Chip Package: BGA-1401

Graphics Card:
Release Date: Apr 24th, 2017
Generation: Radeon Pro GCN
Predecessor: FirePro GCN
Successor: Radeon Pro Polaris
Production: Active
Launch Price: 999 USD
Bus Interface: PCIe 3.0 x16
Reviews: 6 in our database

Clock Speeds:
GPU Clock: 1243 MHz
Memory Clock: 1750 MHz 7 Gbps effective

Memory:
Memory Size: 16 GB
Memory Type: GDDR5
Memory Bus: 256 bit
Bandwidth: 224.0 GB/s

Render Config:
Shading Units: 2304
TMUs: 144
ROPs: 32
Compute Units: 36
L1 Cache: 16 KB (per CU)
L2 Cache: 2 MB

Theoretical Performance:
Pixel Rate: 39.78 GPixel/s
Texture Rate: 179.0 GTexel/s
FP16 (half): 5.728 TFLOPS (1:1)
FP32 (float): 5.728 TFLOPS
FP64 (double): 358.0 GFLOPS (1:16)

Board Design:
Slot Width: Dual-slot
Length: 305 mm 12 inches
Width: 111 mm 4.4 inches
TDP: 250 W
Suggested PSU: 600 W
Outputs: 1x HDMI 2.0b 3x DisplayPort 1.4a
Power Connectors: 1x 6-pin + 1x 8-pin
Board Number: 109-D08637-00B_02

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro SSG,"Graphics Processor: Vega 10
Cores: 4096
TMUs: 256
ROPs: 64
Memory Size: 16 GB
Memory Type: HBM2
Bus Width: 2048 bit","Graphics Processor:
GPU Name: Vega 10
GPU Variant: Vega 10 XT GL (215-0894124)
Architecture: GCN 5.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 12,500 million
Density: 25.3M / mm²
Die Size: 495 mm²
Chip Package: BGA-2013

Graphics Card:
Release Date: Aug 8th, 2017
Generation: Radeon Pro Vega (Vega Series)
Predecessor: Radeon Pro Polaris
Successor: Radeon Pro Navi
Production: Active
Launch Price: 6,999 USD
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 1440 MHz
Boost Clock: 1500 MHz
Memory Clock: 945 MHz 1890 Mbps effective

Memory:
Memory Size: 16 GB
Memory Type: HBM2
Memory Bus: 2048 bit
Bandwidth: 483.8 GB/s

Render Config:
Shading Units: 4096
TMUs: 256
ROPs: 64
Compute Units: 64
L1 Cache: 16 KB (per CU)
L2 Cache: 4 MB

Theoretical Performance:
Pixel Rate: 96.00 GPixel/s
Texture Rate: 384.0 GTexel/s
FP16 (half): 24.58 TFLOPS (2:1)
FP32 (float): 12.29 TFLOPS
FP64 (double): 768.0 GFLOPS (1:16)

Board Design:
Slot Width: Dual-slot
Length: 267 mm 10.5 inches
Width: 111 mm 4.4 inches
TDP: 260 W
Suggested PSU: 600 W
Outputs: 6x mini-DisplayPort 1.4a
Power Connectors: 1x 6-pin + 1x 8-pin

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro V320,"Graphics Processor: Vega 10
Cores: 3584
TMUs: 224
ROPs: 64
Memory Size: 8 GB
Memory Type: HBM2
Bus Width: 2048 bit","Graphics Processor:
GPU Name: Vega 10
GPU Variant: Vega 10 XL GL SERVER (215-0894144)
Architecture: GCN 5.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 12,500 million
Density: 25.3M / mm²
Die Size: 495 mm²
Chip Package: BGA-2013

Graphics Card:
Release Date: Jun 29th, 2017
Generation: Radeon Pro Vega (Vega Series)
Predecessor: Radeon Pro Polaris
Successor: Radeon Pro Navi
Production: Active
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 852 MHz
Boost Clock: 1500 MHz
Memory Clock: 945 MHz 1890 Mbps effective

Memory:
Memory Size: 8 GB
Memory Type: HBM2
Memory Bus: 2048 bit
Bandwidth: 483.8 GB/s

Render Config:
Shading Units: 3584
TMUs: 224
ROPs: 64
Compute Units: 56
L1 Cache: 16 KB (per CU)
L2 Cache: 4 MB

Theoretical Performance:
Pixel Rate: 96.00 GPixel/s
Texture Rate: 336.0 GTexel/s
FP16 (half): 21.50 TFLOPS (2:1)
FP32 (float): 10.75 TFLOPS
FP64 (double): 672.0 GFLOPS (1:16)

Board Design:
Slot Width: Dual-slot
Length: 267 mm 10.5 inches
Width: 111 mm 4.4 inches
TDP: 230 W
Suggested PSU: 550 W
Outputs: 4x mini-DisplayPort 1.4a
Power Connectors: 2x 8-pin
Board Number: 109-D05187-00_03

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
