Product Name,Main Specs,Additional Specs,Derived Models
AMD Radeon E9260 MXM,"Graphics Processor: Baffin
Cores: 896
TMUs: 48
ROPs: 16
Memory Size: 4 GB
Memory Type: GDDR5
Bus Width: 128 bit","Graphics Processor:
GPU Name: Baffin
GPU Variant: Baffin E9260 (216-0885288)
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 3,000 million
Density: 24.4M / mm²
Die Size: 123 mm²
Chip Package: BGA-769

Mobile Graphics:
Release Date: Sep 27th, 2016
Generation: Embedded (9000)
Production: Active
Bus Interface: MXM-A (3.0)

Clock Speeds:
GPU Clock: 1053 MHz
Memory Clock: 1750 MHz 7 Gbps effective

Memory:
Memory Size: 4 GB
Memory Type: GDDR5
Memory Bus: 128 bit
Bandwidth: 112.0 GB/s

Render Config:
Shading Units: 896
TMUs: 48
ROPs: 16
Compute Units: 14
L1 Cache: 16 KB (per CU)
L2 Cache: 1024 KB

Theoretical Performance:
Pixel Rate: 16.85 GPixel/s
Texture Rate: 50.54 GTexel/s
FP16 (half): 1.887 TFLOPS (1:1)
FP32 (float): 1.887 TFLOPS
FP64 (double): 117.9 GFLOPS (1:16)

Board Design:
Slot Width: MXM Module
TDP: 50 W
Outputs: Portable Device Dependent
Power Connectors: None

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon E9260 PCIe,"Graphics Processor: Baffin
Cores: 896
TMUs: 48
ROPs: 16
Memory Size: 4 GB
Memory Type: GDDR5
Bus Width: 128 bit","Graphics Processor:
GPU Name: Baffin
GPU Variant: Baffin E9260 (216-0885288)
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 3,000 million
Density: 24.4M / mm²
Die Size: 123 mm²
Chip Package: BGA-769

Mobile Graphics:
Release Date: Sep 27th, 2016
Generation: Embedded (9000)
Production: Active
Bus Interface: PCIe 3.0 x8

Clock Speeds:
Base Clock: 1090 MHz
Boost Clock: 1200 MHz
Memory Clock: 1750 MHz 7 Gbps effective

Memory:
Memory Size: 4 GB
Memory Type: GDDR5
Memory Bus: 128 bit
Bandwidth: 112.0 GB/s

Render Config:
Shading Units: 896
TMUs: 48
ROPs: 16
Compute Units: 14
L1 Cache: 16 KB (per CU)
L2 Cache: 1024 KB

Theoretical Performance:
Pixel Rate: 19.20 GPixel/s
Texture Rate: 57.60 GTexel/s
FP16 (half): 2.150 TFLOPS (1:1)
FP32 (float): 2.150 TFLOPS
FP64 (double): 134.4 GFLOPS (1:16)

Board Design:
Slot Width: Single-slot
Length: 168 mm 6.6 inches
Width: 69 mm 2.7 inches
TDP: 80 W
Outputs: 4x mini-DisplayPort 1.4a
Power Connectors: None
Board Number: 109-D01587-00_03

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

","기반 제품명:Sapphire GPRO E9260 -해당 제품의 바뀐 사항 GPU Clock: 1090 MHz, Boost Clock: 1400 MHz, Memory Clock: 1750 MHz, 외의 바뀐 사항: 8 GB, 4x DisplayPort
"
AMD Radeon E9550 MXM,"Graphics Processor: Ellesmere
Cores: 2304
TMUs: 144
ROPs: 32
Memory Size: 8 GB
Memory Type: GDDR5
Bus Width: 256 bit","Graphics Processor:
GPU Name: Ellesmere
GPU Variant: Polaris 10 E9550 (215-0876264)
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 5,700 million
Density: 24.6M / mm²
Die Size: 232 mm²
Chip Package: BGA-1401

Mobile Graphics:
Release Date: Sep 27th, 2016
Generation: Embedded (9000)
Production: Active
Bus Interface: MXM-B (3.0)

Clock Speeds:
Base Clock: 1120 MHz
Boost Clock: 1244 MHz
Memory Clock: 1250 MHz 5 Gbps effective

Memory:
Memory Size: 8 GB
Memory Type: GDDR5
Memory Bus: 256 bit
Bandwidth: 160.0 GB/s

Render Config:
Shading Units: 2304
TMUs: 144
ROPs: 32
Compute Units: 36
L1 Cache: 16 KB (per CU)
L2 Cache: 2 MB

Theoretical Performance:
Pixel Rate: 39.81 GPixel/s
Texture Rate: 179.1 GTexel/s
FP16 (half): 5.732 TFLOPS (1:1)
FP32 (float): 5.732 TFLOPS
FP64 (double): 358.3 GFLOPS (1:16)

Board Design:
Slot Width: MXM Module
TDP: 95 W
Outputs: 1x HDMI 2.0b 3x DisplayPort 1.4a
Power Connectors: None

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Instinct MI6,"Graphics Processor: Ellesmere
Cores: 2304
TMUs: 144
ROPs: 32
Memory Size: 8 GB
Memory Type: GDDR5
Bus Width: 256 bit","Graphics Processor:
GPU Name: Ellesmere
GPU Variant: Ellesmere XT
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 5,700 million
Density: 24.6M / mm²
Die Size: 232 mm²
Chip Package: BGA-1401

Graphics Card:
Release Date: Dec 12th, 2016
Generation: Radeon Instinct (MIx)
Predecessor: FirePro Data Center
Production: Active
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 1120 MHz
Boost Clock: 1233 MHz
Memory Clock: 1750 MHz 7 Gbps effective

Memory:
Memory Size: 8 GB
Memory Type: GDDR5
Memory Bus: 256 bit
Bandwidth: 224.0 GB/s

Render Config:
Shading Units: 2304
TMUs: 144
ROPs: 32
Compute Units: 36
L1 Cache: 16 KB (per CU)
L2 Cache: 2 MB

Theoretical Performance:
Pixel Rate: 39.46 GPixel/s
Texture Rate: 177.6 GTexel/s
FP16 (half): 5.682 TFLOPS (1:1)
FP32 (float): 5.682 TFLOPS
FP64 (double): 355.1 GFLOPS (1:16)

Board Design:
Slot Width: Single-slot
Length: 241 mm 9.5 inches
Width: 111 mm 4.4 inches
TDP: 150 W
Suggested PSU: 450 W
Outputs: No outputs
Power Connectors: 1x 6-pin
Board Number: D122

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro 450,"Graphics Processor: Baffin
Cores: 640
TMUs: 40
ROPs: 16
Memory Size: 2 GB
Memory Type: GDDR5
Bus Width: 128 bit","Graphics Processor:
GPU Name: Baffin
GPU Variant: Baffin LE
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 3,000 million
Density: 24.4M / mm²
Die Size: 123 mm²
Chip Package: BGA-769

Mobile Graphics:
Release Date: Oct 30th, 2016
Generation: Radeon Pro Mac (400 Series)
Production: Active
Bus Interface: PCIe 3.0 x8

Clock Speeds:
GPU Clock: 800 MHz
Memory Clock: 1270 MHz 5.1 Gbps effective

Memory:
Memory Size: 2 GB
Memory Type: GDDR5
Memory Bus: 128 bit
Bandwidth: 81.28 GB/s

Render Config:
Shading Units: 640
TMUs: 40
ROPs: 16
Compute Units: 10
L1 Cache: 16 KB (per CU)
L2 Cache: 1024 KB

Theoretical Performance:
Pixel Rate: 12.80 GPixel/s
Texture Rate: 32.00 GTexel/s
FP16 (half): 1,024 GFLOPS (1:1)
FP32 (float): 1,024 GFLOPS
FP64 (double): 64.00 GFLOPS (1:16)

Board Design:
Slot Width: MXM Module
TDP: 35 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro 455,"Graphics Processor: Baffin
Cores: 768
TMUs: 48
ROPs: 16
Memory Size: 2 GB
Memory Type: GDDR5
Bus Width: 128 bit","Graphics Processor:
GPU Name: Baffin
GPU Variant: Baffin PRO (215-0895088)
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 3,000 million
Density: 24.4M / mm²
Die Size: 123 mm²
Chip Package: BGA-769

Mobile Graphics:
Release Date: Oct 30th, 2016
Generation: Radeon Pro Mac (400 Series)
Production: Active
Bus Interface: PCIe 3.0 x8

Clock Speeds:
GPU Clock: 855 MHz
Memory Clock: 1270 MHz 5.1 Gbps effective

Memory:
Memory Size: 2 GB
Memory Type: GDDR5
Memory Bus: 128 bit
Bandwidth: 81.28 GB/s

Render Config:
Shading Units: 768
TMUs: 48
ROPs: 16
Compute Units: 12
L1 Cache: 16 KB (per CU)
L2 Cache: 1024 KB

Theoretical Performance:
Pixel Rate: 13.68 GPixel/s
Texture Rate: 41.04 GTexel/s
FP16 (half): 1,313 GFLOPS (1:1)
FP32 (float): 1,313 GFLOPS
FP64 (double): 82.08 GFLOPS (1:16)

Board Design:
Slot Width: MXM Module
TDP: 35 W
Outputs: Portable Device Dependent
Power Connectors: None

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro 460,"Graphics Processor: Baffin
Cores: 1024
TMUs: 64
ROPs: 16
Memory Size: 4 GB
Memory Type: GDDR5
Bus Width: 128 bit","Graphics Processor:
GPU Name: Baffin
GPU Variant: Baffin XT
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 3,000 million
Density: 24.4M / mm²
Die Size: 123 mm²
Chip Package: BGA-769

Mobile Graphics:
Release Date: Oct 30th, 2016
Generation: Radeon Pro Mac (400 Series)
Production: Active
Bus Interface: PCIe 3.0 x8

Clock Speeds:
Base Clock: 850 MHz
Boost Clock: 907 MHz
Memory Clock: 1270 MHz 5.1 Gbps effective

Memory:
Memory Size: 4 GB
Memory Type: GDDR5
Memory Bus: 128 bit
Bandwidth: 81.28 GB/s

Render Config:
Shading Units: 1024
TMUs: 64
ROPs: 16
Compute Units: 16
L1 Cache: 16 KB (per CU)
L2 Cache: 1024 KB

Theoretical Performance:
Pixel Rate: 14.51 GPixel/s
Texture Rate: 58.05 GTexel/s
FP16 (half): 1.858 TFLOPS (1:1)
FP32 (float): 1.858 TFLOPS
FP64 (double): 116.1 GFLOPS (1:16)

Board Design:
Slot Width: IGP
TDP: 35 W
Outputs: Portable Device Dependent
Power Connectors: None

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro SSG,"Graphics Processor: Fiji
Cores: 4096
TMUs: 256
ROPs: 64
Memory Size: 4 GB
Memory Type: HBM
Bus Width: 4096 bit","Graphics Processor:
GPU Name: Fiji
GPU Variant: Fiji XT C0/CC
Architecture: GCN 3.0
Foundry: TSMC
Process Size: 28 nm
Transistors: 8,900 million
Density: 14.9M / mm²
Die Size: 596 mm²

Graphics Card:
Release Date: Jul 26th, 2016
Generation: Radeon Pro GCN
Predecessor: FirePro GCN
Successor: Radeon Pro Polaris
Production: Active
Launch Price: 9,999 USD
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 1000 MHz
Boost Clock: 1050 MHz
Memory Clock: 500 MHz 1000 Mbps effective

Memory:
Memory Size: 4 GB
Memory Type: HBM
Memory Bus: 4096 bit
Bandwidth: 512.0 GB/s

Render Config:
Shading Units: 4096
TMUs: 256
ROPs: 64
Compute Units: 64
L1 Cache: 16 KB (per CU)
L2 Cache: 4 MB

Theoretical Performance:
Pixel Rate: 67.20 GPixel/s
Texture Rate: 268.8 GTexel/s
FP16 (half): 17.20 TFLOPS (2:1)
FP32 (float): 8.602 TFLOPS
FP64 (double): 537.6 GFLOPS (1:16)

Board Design:
Slot Width: Dual-slot
Length: 267 mm 10.5 inches
Width: 111 mm 4.4 inches
TDP: 260 W
Suggested PSU: 600 W
Outputs: 1x HDMI 1.4a 3x mini-DisplayPort 1.2
Power Connectors: 1x 6-pin + 1x 8-pin
Board Number: 109-D06937-00B_02

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.2.170
Shader Model: 6.5

",없음
AMD Radeon Pro WX 4100,"Graphics Processor: Baffin
Cores: 1024
TMUs: 64
ROPs: 16
Memory Size: 4 GB
Memory Type: GDDR5
Bus Width: 128 bit","Graphics Processor:
GPU Name: Baffin
GPU Variant: Baffin XT
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 3,000 million
Density: 24.4M / mm²
Die Size: 123 mm²
Chip Package: BGA-769

Graphics Card:
Release Date: Nov 10th, 2016
Generation: Radeon Pro Polaris (WX x100)
Predecessor: Radeon Pro GCN
Successor: Radeon Pro Vega
Production: Active
Launch Price: 399 USD
Bus Interface: PCIe 3.0 x8

Clock Speeds:
Base Clock: 1125 MHz
Boost Clock: 1201 MHz
Memory Clock: 1500 MHz 6 Gbps effective

Memory:
Memory Size: 4 GB
Memory Type: GDDR5
Memory Bus: 128 bit
Bandwidth: 96.00 GB/s

Render Config:
Shading Units: 1024
TMUs: 64
ROPs: 16
Compute Units: 16
L1 Cache: 16 KB (per CU)
L2 Cache: 1024 KB

Theoretical Performance:
Pixel Rate: 19.22 GPixel/s
Texture Rate: 76.86 GTexel/s
FP16 (half): 2.460 TFLOPS (1:1)
FP32 (float): 2.460 TFLOPS
FP64 (double): 153.7 GFLOPS (1:16)

Board Design:
Slot Width: Single-slot
Length: 168 mm 6.6 inches
Width: 69 mm 2.7 inches
TDP: 50 W
Suggested PSU: 250 W
Outputs: 4x mini-DisplayPort 1.4a
Power Connectors: None
Board Number: 109-D01587-00C_02

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

",없음
AMD Radeon Pro WX 5100,"Graphics Processor: Ellesmere
Cores: 1792
TMUs: 112
ROPs: 32
Memory Size: 8 GB
Memory Type: GDDR5
Bus Width: 256 bit","Graphics Processor:
GPU Name: Ellesmere
GPU Variant: Polaris 10 PRO GL (215-0876144)
Architecture: GCN 4.0
Foundry: GlobalFoundries
Process Size: 14 nm
Transistors: 5,700 million
Density: 24.6M / mm²
Die Size: 232 mm²
Chip Package: BGA-1401

Graphics Card:
Release Date: Nov 18th, 2016
Generation: Radeon Pro Polaris (WX x100)
Predecessor: Radeon Pro GCN
Successor: Radeon Pro Vega
Production: Active
Launch Price: 499 USD
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 713 MHz
Boost Clock: 1086 MHz
Memory Clock: 1250 MHz 5 Gbps effective

Memory:
Memory Size: 8 GB
Memory Type: GDDR5
Memory Bus: 256 bit
Bandwidth: 160.0 GB/s

Render Config:
Shading Units: 1792
TMUs: 112
ROPs: 32
Compute Units: 28
L1 Cache: 16 KB (per CU)
L2 Cache: 2 MB

Theoretical Performance:
Pixel Rate: 34.75 GPixel/s
Texture Rate: 121.6 GTexel/s
FP16 (half): 3.892 TFLOPS (1:1)
FP32 (float): 3.892 TFLOPS
FP64 (double): 243.3 GFLOPS (1:16)

Board Design:
Slot Width: Single-slot
Length: 173 mm 6.8 inches
Width: 112 mm 4.4 inches
TDP: 75 W
Suggested PSU: 250 W
Outputs: 4x DisplayPort 1.4a
Power Connectors: None
Board Number: 109-C95487-00C_02

Graphics Features:
DirectX: 12 (12_0)
OpenGL: 4.6
OpenCL: 2.1
Vulkan: 1.3
Shader Model: 6.7

","기반 제품명:Barco MXRT-6700 -해당 제품의 바뀐 사항 GPU Clock: 713 MHz, Boost Clock: 1086 MHz, Memory Clock: 1250 MHz, 외의 바뀐 사항: 
"
