num,summary,grade,review
28,"사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77)
원단부드러워요사이즈잘 맞아요착용감편해요",5,친구 생일 선물로 구입 했는데 사이즈도 딱 좋고 마음에 꼭 들어했어요😊
29,"사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77)
원단부드러워요사이즈잘 맞아요착용감편해요",4,"원단은 부드럽고 좋습니다.
생각한것 보다는 다소 얇아서 봄가을에 입기 좋을것 같네요"
30,"사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77)
원단부드러워요사이즈잘 맞아요착용감편해요",5,"길이도 잘 맞고 편하기도 엄청 편하네요
입기전에 한 번 단독세탁 꼭 해야할것 같아요
파란 물이 많이 빠지네요"
31,"사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77)
사이즈약간 커요착용감아주 편해요원단보통이에요",5,착용했는데 너무 이뻐요ㅜㅜ 잘산 것 같습니다
32,사이즈잘 맞아요착용감아주 편해요원단보통이에요,5,"일단 디자인이 정말 예쁘구요 ㅠㅠ 파자마 배송 온 이후로 매일 집에서 입고 있어요. 다른분들 후기에도 쓰여져있듯이 봄/가을용이라고 생각하시면 될 것같아요. 겨울에는 조금 춥습니다...ㅎㅎㅎ 겨울상품도 있으면 구매하고 싶어요! 잘 입을게요, 감사합니다!"
33,"사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66)
사이즈잘 맞아요착용감편해요원단보통이에요",5,배송도 빠르고 상품도 만족합니다
34,"사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77)
사이즈잘 맞아요착용감아주 편해요원단보통이에요",5,선물용으로 샀는데 친구가 엄청 좋아하네요~!
35,"사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77)
사이즈잘 맞아요착용감아주 편해요원단보통이에요",5,배송도 빠르고 잠옷도 예쁘고 잠도 잘 오네요 ㅋㅋ
36,"사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77)
사이즈잘 맞아요착용감아주 편해요원단보통이에요",5,우선 잠옷 너무 이쁩니다ㅜㅜ 그리고 완전 널널해서 엄청 편해요!! 배송도 하루만에 해주시고 감사합니다>< 잘 입겠습니다❤️
37,"사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77)
사이즈잘 맞아요착용감편해요원단보통이에요",5,민석이가 입어서 샀는데 팔움직이는데 불편하지않아서좋아여
38,"사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66)
원단부드러워요사이즈잘 맞아요착용감편해요",5,부드럽고 핏도 좋아요 다만 겨울에 입기에는 조금 쌀쌀한 감이 있긴 하지만 이불 덮으니까 딱 좋더라구요
39,"사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77)
원단부드러워요사이즈약간 커요착용감아주 편해요",5,개운하게 목욕하고 예쁜 잠옷 입고 하루를 마무리 하니 마음이 편안해지고 행복하네요. 판매자님께 감사드려요 항상 감기 조심하시고 행복한 하루 보내세요ଘ(੭*ˊᵕˋ)੭*
40,"사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77)
원단부드러워요사이즈잘 맞아요착용감편해요",5,좋아용 편하고 보들보들해용
41,"사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66)
사이즈잘 맞아요착용감아주 편해요원단보통이에요",5,얇지만 생각보다 따뜻하고 아주 편하고 조아요~~굿굿
42,"사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77)
사이즈잘 맞아요착용감편해요원단보통이에요",5,한달사용기지인이 시우민을 좋아해서 선물용으로 샀는데 좋아하네요
43,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,좋아요~ 제가 입을건 아니지만 친구선물로 주니 너무 좋아하네요~!! 배송도 빠르고 아주 만족해요~!!
44,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,시우민 좋아하는 친구 선물로 샀는데 친구가 너무 좋아해요!! 선물 잘했습니다~
45,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,"좋아요 이불밖은 위험해에서 시우민이 입은거 보고 샀어용
편하고 사이즈도 적당하네요 배송도 빨랐습니당"
46,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66),5,디자인은 이뻐요 값이 비싼감이 있지만 시우민짱
47,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,잘 받았습니다 선물로 구입했는데 받는 사람이 매우 만족해했어요빠른 배송도 좋았고요연휴가 걸려있어서 좀 걱정했는데 무사히 그 전에 도착했습니다감사합니다
48,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,배송 빠르고 좋아요
49,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,친한 언니한테 선물주려고 샀는데 너무 예쁘네요 추천합니다
50,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,선물용으로 샀는데 좋아요
51,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,시우민이 입은 것 보고 샀눈데 예쁘네요
52,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,잘 받았습니다
53,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66),5,친구 생일 선물로 샀어요 친구가 시우민 팬이어서 샀는데 맘에 들어 했으면 좋겠구요 아직 뜯어보지는 않아서 모르겠어요 그래두 시우민이 입었으니까 괜찮아
54,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66),5,빠른배송이고 이뻐요~~!
55,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66),5,선물용으로 산건데 좋어요!
56,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66),5,"친구 선물 주려고 샀어요 시우민 잠옷 
친구가 좋아했으면 좋겠네용 ><!!"
57,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,"아들줄려고 샀는데 넘 맘에 들어하네요, 잘입을게요^^"
58,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),4,정말 좋아요 재질도 좋고 무척 편해서 잠이 잘 오네요 평소에 잠옷 안입다가 처음 사서 입었는데 삶의 질이 향상되는 기분이에요
59,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,엑소 시우민 잠옷💙 엑소의 시우민님이 이불밖은 위험해에서 입고나온 잠옷이라 바로 샀었어요^^ 시우민님만큼은 아니지만 잘어울리는거같아 기분좋아요 시우민 사랑해
120,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,시우민이 입은거 보고 샀는데 사길 잘한거 같아요! 예쁘고 소재도 좋고! 예쁘게 잘 입을게요~~^^*
