summary,grade,review
"타입: LED USB 수납형 / 사이즈_색상: 슈퍼싱글 / 색상: 아이보리
디자인마음에 들어요사이즈정사이즈예요견고함견고해요",5,"침대도 단단하고 좋아요
매트리스도 아이에게 알맞게
단단하네요^^
예쁘게 잘사용할께요~~"
"타입: LED수납형 / 사이즈_색상: 슈퍼싱글_아이보리 / 매트리스선택: 프레임만(매트리스 별도)
디자인마음에 들어요사이즈정사이즈예요견고함견고해요",5,"슈퍼싱글이이 넓직해 두명이 잘수 있겠네요~
LED등이 너무 이쁘고 편리하고 USB꽂이가
있어 편리한점도 많아용~

침대프레임과 매트리스 모두 넘~~맘에
드네용
하루하루 잠자리가 편안해서 피곤이 잘
풀리는듯~
더보기"
"타입: LED수납형 / 사이즈_색상: 킹_그레이 / 매트리스선택: A1시그니처매트리스
디자인마음에 들어요사이즈정사이즈예요견고함보통이에요",5,한달사용기가성비 좋은제품입니다. 만족하며 쓰고있어요
"타입: 슬림형 / 사이즈_색상: 슈퍼싱글 / 색상: 아이보리
디자인화면과 같아요사이즈정사이즈예요견고함보통이에요",5,튼튼하고 가성비 너무좋아요 최고에요
"타입: 슬림형 / 사이즈_색상: 퀸_그레이 / 매트리스선택: 프레임만(매트리스 별도)
디자인마음에 들어요사이즈정사이즈예요견고함견고해요",5,"실물로 보면 더 이뻐요!! 더 견고하고 깔끔~
고급스러운 느낌까지 풍겨서 넘 좋은거 있죠
디자인도 마음에 들고 쓸 스록 눈에 들어오고 마음에 쏙들어요
침실 느낌 확 살면서 분위기 바껴서 정말 잘 샀다 싶어요"
"타입: LED수납형 / 사이즈_색상: 퀸_아이보리 / 매트리스선택: 프레임만(매트리스 별도)
디자인마음에 들어요사이즈정사이즈예요견고함견고해요",5,"이번에 자취 시작하면서 구입이요
직접 가서 보고 사고 싶었는데 시간이 안되서 인터넷으로 샀네요
디자인이 이뻐서 산건데 실제로 써보니 훨씬 마음에 들어요
헤드쪽에 수납이 되니까 휴대폰 하고서 넣어두기도 좋고 유용하더라구요
친구도 보더니 넘 좋다고 링크 알아갔어요!"
"타입: 슬림형 / 사이즈_색상: 슈퍼싱글_아이보리 / 매트리스선택: 프레임만(매트리스 별도)
디자인마음에 들어요사이즈정사이즈예요견고함견고해요",5,"침대가 튼튼하고 실용성이 있고 LED등이 너무
예뻐요~ 진짜 맘에 드네요~
매트리스도 너무 편안하고 잠이 잘 와서
진짜 편희 잤네요~~"
"타입: LED수납형 / 사이즈_색상: 킹_그레이 / 매트리스선택: A1시그니처매트리스
디자인마음에 들어요사이즈정사이즈예요견고함보통이에요",5,퀵슬립 사용하다 너무 물컹거리고 모서리가 푹푹 꺼져서 내다버리고  여기저기 알아보던중 하드타입 매트릭스 주문해서 3일째 쓰고 있는데 가격대비 매우만족 스러움
"타입: LED수납형 / 사이즈_색상: 슈퍼싱글_그레이 / 매트리스선택: 본넬매트리스
디자인마음에 들어요사이즈정사이즈예요견고함견고해요",5,"아들방 바꿔줬는데 좋아해요
몸무게가 조금 나가서 튼튼한거가 중요한데 아주 좋네요
수납공간없어서 서랍있는걸로 주문했는데 활용도 크고 좋아요
서랍도 부드럽게 잘 열리고 싸이즈 딱맞아 좋네요"
"타입: LED수납형 / 사이즈_색상: 슈퍼싱글_아이보리 / 매트리스선택: A1시그니처매트리스
디자인마음에 들어요사이즈정사이즈예요견고함견고해요",5,"사진만보고 구매해서 많이 불안했는데 너무 괜찮아요
수납공간있는거에 점수 많이주고 산건데 튼튼하니 깔끔한 디자인에 이뻐서 너무 마음에 듭니다 
정말 어느 하나 허접해 보이는 부분이 하나도 없어요
이가격보다 훨씬 고급져보여서 너무너무 마음에 드네요"
"타입: 슬림형 / 사이즈_색상: 슈퍼싱글_아이보리 / 매트리스선택: 7존포켓매트리스
디자인마음에 들어요사이즈생각보다 커요견고함견고해요",5,아들 방부터 리모델링 하면서 바닥에서 매트리스 깔고 자던거 치워버리고 새로 침대 맞췄는데 사장님도 너무 친절하시고 크기도 좋고 침대도 예쁘네요
"타입: 슬림형 / 사이즈_색상: 슈퍼싱글_아이보리 / 매트리스선택: 프레임만(매트리스 별도)
디자인마음에 들어요사이즈생각보다 커요견고함견고해요",5,"기존에 쓰던 매트리스가 있어 프레임만 샀는데 너무 튼튼하고 디자인도 예쁘고 너무 좋네요.
매트리스랑 딱 맞기도 하고 예뻐요"
